"Key","ja","en"
"pause_menu_label_howtoplay","플레이 방법","How to play"
"pause_menu_label_frame","프레임","Frame"
"pause_menu_label_filter","필터","Filter"
"pause_menu_label_window","윈도우 설정","Window"
"pause_menu_label_ranking","랭킹","Ranking"
"pause_menu_label_backtitle","타이틀 화면으로","Title screen"
"pause_menu_label_exit","게임을 종료하기","Exit game"
"pause_menu_label_close","닫기","Resume"
"common_dialog_titlescreen_msg","타이틀 화면으로 돌아가겠습니까?","Back to title screen?"
"common_dialog_disconnected_msg","네트워크 연결이 끊겼습니다","You have been disconnected from the Internet"
"common_dialog_exit_game_msg","게임을 종료하겠습니까?","Do you want to exit the game?"
"common_dialog_yes_label","예","Yes"
"common_dialog_no_label","아니요","No"
"loading_autosave_msg","본 게임은 자동 저장에 대응하지 않습니다.
종료할 때는 게임 내 저장 기능을 이용해 주십시오.","This game does not support auto-save.
Please make sure to save before closing the game."
"ranking_get_ranking_msg","랭킹을 얻는다","Get Ranking"
"ranking_load_ranking_msg","Loading...","Loading..."
"ranking_unranked_label","랭크 외","Unranked"
